zip_code,total_respondents,pct_with_barriers,pct_cost,pct_transportation,pct_awareness,pct_location,pct_diversity,barrier_intensity
78745,93,100.0,67.74193548387096,72.04301075268818,52.68817204301075,44.086021505376344,31.182795698924732,2.838709677419355
78704,82,100.0,71.95121951219512,60.97560975609756,50.0,23.170731707317074,29.268292682926827,2.5365853658536586
78723,69,100.0,79.71014492753623,66.66666666666666,60.86956521739131,43.47826086956522,52.17391304347826,3.1449275362318843
78702,66,100.0,68.18181818181817,53.03030303030303,51.515151515151516,36.36363636363637,37.878787878787875,2.6818181818181817
78751,45,100.0,71.11111111111111,46.666666666666664,55.55555555555556,28.888888888888886,28.888888888888886,2.533333333333333
78748,42,100.0,80.95238095238095,76.19047619047619,59.523809523809526,52.38095238095239,28.57142857142857,3.0952380952380953
78741,40,100.0,85.0,67.5,52.5,37.5,37.5,2.95
78721,34,100.0,64.70588235294117,61.76470588235294,50.0,47.05882352941176,38.23529411764706,2.9411764705882355
78759,31,100.0,77.41935483870968,64.51612903225806,58.06451612903226,45.16129032258064,45.16129032258064,3.0
78757,28,100.0,53.57142857142857,64.28571428571429,60.71428571428571,42.857142857142854,14.285714285714285,2.607142857142857
78749,28,100.0,60.71428571428571,64.28571428571429,46.42857142857143,46.42857142857143,25.0,2.607142857142857
78752,26,100.0,65.38461538461539,73.07692307692307,46.15384615384615,57.692307692307686,42.30769230769231,2.8846153846153846
78753,26,100.0,69.23076923076923,73.07692307692307,46.15384615384615,53.84615384615385,46.15384615384615,3.0
78703,26,100.0,65.38461538461539,65.38461538461539,57.692307692307686,26.923076923076923,11.538461538461538,2.5384615384615383
78727,26,100.0,65.38461538461539,69.23076923076923,38.46153846153847,50.0,26.923076923076923,2.576923076923077
78731,25,100.0,64.0,72.0,56.00000000000001,40.0,12.0,2.6
78758,25,100.0,64.0,72.0,56.00000000000001,76.0,52.0,3.36
78660,24,100.0,50.0,58.333333333333336,37.5,50.0,45.83333333333333,2.5833333333333335
78754,23,100.0,73.91304347826086,69.56521739130434,69.56521739130434,52.17391304347826,65.21739130434783,3.608695652173913
78744,22,100.0,77.27272727272727,72.72727272727273,77.27272727272727,50.0,63.63636363636363,3.5454545454545454
78701,20,100.0,50.0,50.0,70.0,35.0,35.0,2.65
78705,19,100.0,73.68421052631578,78.94736842105263,47.368421052631575,36.84210526315789,31.57894736842105,2.736842105263158
78756,18,100.0,77.77777777777779,66.66666666666666,50.0,22.22222222222222,22.22222222222222,2.5555555555555554
78747,17,100.0,58.82352941176471,76.47058823529412,64.70588235294117,52.94117647058824,35.294117647058826,3.0588235294117645
78722,17,100.0,70.58823529411765,58.82352941176471,41.17647058823529,52.94117647058824,35.294117647058826,2.823529411764706
78724,16,100.0,75.0,43.75,43.75,68.75,75.0,3.1875
78746,15,100.0,66.66666666666666,80.0,60.0,33.33333333333333,40.0,2.933333333333333
78739,13,100.0,61.53846153846154,69.23076923076923,53.84615384615385,38.46153846153847,23.076923076923077,2.8461538461538463
78653,12,100.0,33.33333333333333,66.66666666666666,50.0,58.333333333333336,33.33333333333333,2.4166666666666665
78750,11,100.0,63.63636363636363,45.45454545454545,45.45454545454545,18.181818181818183,18.181818181818183,2.272727272727273
78613,9,100.0,88.88888888888889,100.0,44.44444444444444,66.66666666666666,33.33333333333333,3.3333333333333335
78729,8,100.0,75.0,50.0,62.5,50.0,37.5,2.875
78666,8,100.0,50.0,50.0,75.0,12.5,25.0,2.5
78665,7,100.0,71.42857142857143,71.42857142857143,28.57142857142857,85.71428571428571,28.57142857142857,3.142857142857143
78717,7,100.0,42.857142857142854,57.14285714285714,71.42857142857143,85.71428571428571,42.857142857142854,3.142857142857143
78641,7,100.0,85.71428571428571,85.71428571428571,71.42857142857143,71.42857142857143,42.857142857142854,3.5714285714285716
78725,7,100.0,57.14285714285714,57.14285714285714,42.857142857142854,28.57142857142857,57.14285714285714,2.7142857142857144
78617,6,100.0,66.66666666666666,83.33333333333334,33.33333333333333,66.66666666666666,33.33333333333333,3.0
78733,6,100.0,50.0,100.0,33.33333333333333,100.0,16.666666666666664,3.3333333333333335
78728,6,100.0,66.66666666666666,66.66666666666666,83.33333333333334,50.0,50.0,3.3333333333333335
78734,6,100.0,50.0,83.33333333333334,50.0,66.66666666666666,33.33333333333333,3.1666666666666665
78664,5,100.0,80.0,80.0,80.0,80.0,40.0,3.6
78726,5,100.0,80.0,80.0,80.0,40.0,20.0,3.0
78732,5,100.0,60.0,80.0,20.0,60.0,60.0,2.8
78735,5,100.0,40.0,80.0,60.0,0.0,0.0,2.0
